trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
18aefcfb-20f7-4fac-976a-ed23a82c0030,1,W2R,13:35:00,13:35:00,,1,0,,,301.1997373744214,0
a46df87b-bac1-4553-a682-61d8d68629dd,0,W2L,15:30:00,15:30:00,,0,1,,,0,0
a46df87b-bac1-4553-a682-61d8d68629dd,1,W2R,15:35:00,15:35:00,,1,0,,,301.1997373744214,0
38678c33-1f7c-45ca-9097-ae5c1936ef7d,0,W2L,17:15:00,17:15:00,,0,1,,,0,0
38678c33-1f7c-45ca-9097-ae5c1936ef7d,1,W2R,17:20:00,17:20:00,,1,0,,,301.1997373744214,0
0a626e72-deae-4e31-a277-769d7ca05902,0,W2L,16:45:00,16:45:00,,0,1,,,0,0
0a626e72-deae-4e31-a277-769d7ca05902,1,W2R,16:50:00,16:50:00,,1,0,,,301.1997373744214,0
7174f9af-995b-4c64-966f-a68362cd5939,0,W2L,18:15:00,18:15:00,,0,1,,,0,0
7174f9af-995b-4c64-966f-a68362cd5939,1,W2R,18:20:00,18:20:00,,1,0,,,301.1997373744214,0
9473d85f-460e-4812-bbcf-04cf0c288859,0,W2L,17:45:00,17:45:00,,0,1,,,0,0
9473d85f-460e-4812-bbcf-04cf0c288859,1,W2R,17:50:00,17:50:00,,1,0,,,301.1997373744214,0
81334c81-4692-4d12-824f-b85f6f5ae92c,0,W2L,16:15:00,16:15:00,,0,1,,,0,0
81334c81-4692-4d12-824f-b85f6f5ae92c,1,W2R,16:20:00,16:20:00,,1,0,,,301.1997373744214,0
ea04b642-a696-4448-88c1-86f3888ddc81,0,W2L,18:45:00,18:45:00,,0,1,,,0,0
ea04b642-a696-4448-88c1-86f3888ddc81,1,W2R,18:50:00,18:50:00,,1,0,,,301.1997373744214,0
446f4111-06c4-41c8-9e25-3740df1a2bf4,0,W2L,19:15:00,19:15:00,,0,1,,,0,0
446f4111-06c4-41c8-9e25-3740df1a2bf4,1,W2R,19:20:00,19:20:00,,1,0,,,301.1997373744214,0
c876822c-3118-49ad-864c-7342c53d7db5,0,W2R,09:40:00,09:40:00,,0,1,,,0,0
c876822c-3118-49ad-864c-7342c53d7db5,1,W2L,09:45:00,09:45:00,,1,0,,,303.09863780647584,0
89024480-7dd7-4a0f-89a1-af9d097147ec,0,W2R,10:00:00,10:00:00,,0,1,,,0,0
89024480-7dd7-4a0f-89a1-af9d097147ec,1,W2L,10:05:00,10:05:00,,1,0,,,303.09863780647584,0
0709b31d-444c-4251-a4fa-b8b08c7d3350,0,W2R,10:20:00,10:20:00,,0,1,,,0,0
0709b31d-444c-4251-a4fa-b8b08c7d3350,1,W2L,10:25:00,10:25:00,,1,0,,,303.09863780647584,0
c4206c05-ce1b-4750-8ea4-6c12314dea75,0,W2R,10:40:00,10:40:00,,0,1,,,0,0
c4206c05-ce1b-4750-8ea4-6c12314dea75,1,W2L,10:45:00,10:45:00,,1,0,,,303.09863780647584,0
a88e20d2-938d-4e40-af6c-14acf4faeb50,0,W2R,11:20:00,11:20:00,,0,1,,,0,0
a88e20d2-938d-4e40-af6c-14acf4faeb50,1,W2L,11:25:00,11:25:00,,1,0,,,303.09863780647584,0
d41c7644-747c-47c5-a1df-c1f4361f9382,0,W2R,12:20:00,12:20:00,,0,1,,,0,0
d41c7644-747c-47c5-a1df-c1f4361f9382,1,W2L,12:25:00,12:25:00,,1,0,,,303.09863780647584,0
44777f3a-67ef-4261-9e36-818320b42259,0,W2R,12:40:00,12:40:00,,0,1,,,0,0
44777f3a-67ef-4261-9e36-818320b42259,1,W2L,12:45:00,12:45:00,,1,0,,,303.09863780647584,0
76600d22-dc35-4f7e-b9dc-671a61eb080a,0,W2R,12:00:00,12:00:00,,0,1,,,0,0
76600d22-dc35-4f7e-b9dc-671a61eb080a,1,W2L,12:05:00,12:05:00,,1,0,,,303.09863780647584,0
8667ce62-577a-4171-aa18-e3e8d02db166,0,W2R,13:00:00,13:00:00,,0,1,,,0,0
8667ce62-577a-4171-aa18-e3e8d02db166,1,W2L,13:05:00,13:05:00,,1,0,,,303.09863780647584,0
